Customer_ID,product_names,price_as_$,purchase_Date,quantity,availability,rating,reviews_sum
C003,"Samsung Galaxy Tab A9+ Tablet 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light,",149.0032,2024-11-22,10,In Stock,4.5 out of 5,7369
C004,"COOPERS Tablet 10 inch, Android 14 Tablet, 32GB ROM 1TB Expand Computer Tablets, Quad Core Processor 6000mAh Battery, 1280x800 IPS",53.99,2024-02-10,2,In Stock,3.7 out of 5,4893
C005,"Tablet,10.1"" Android Tablet with Octa",89.9931,2024-10-10,5,In Stock,4.4 out of 5,643
C006,"10 inch Tablet Android 13 Tablets, 6GB RAM 64GB ROM 512GB Expand, Quad",52.99,2024-11-04,2,In Stock,3.6 out of 5,1932
C008,Tablet Android 14 Tablet 10 Inch Tablet 64GB Storage Tablets 8GB RAM 1024GB Expand 2MP+8MP Dual Camera 10 IN Tab,54.99,2024-11-18,500,In Stock,3.9 out of 5,1552
C010,"Samsung Galaxy Tab S6 Lite 10.4' 64GB WiFi Android Tablet, S Pen Included, Gaming Ready, Long Battery Life, Slim Metal",199.9926,2024-08-25,6,In Stock,4.5 out of 5,1050
C011,"BYYBUO SmartPad A10_L Tablet 10.1 inch Android 13 Tablets, 4GB RAM 64GB ROM Quad",54.9521,2024-05-12,2,In Stock,3.8 out of 5,2125
C013,"YQSAVIOR Tablet, Android 12 10"" Tablet, 6GB RAM 128GB ROM 1TB Expansion with Case, Support 5G WiFi Wi",44.991,2024-08-30,100,In Stock,3.7 out of 5,80
C014,"Android 14 Tablet,10 inch Tablet, Octa Core Processor, 10GB+64GB+512GB Expansion, 1280x800 HD IPS Display Screen, Wi",75.98,2024-09-28,500,In Stock,4.3 out of 5,83
C015,"2024 Newest 10 Inch Tablet with Keyboard, 12GB RAM 128GB ROM 1TB Expand, Octa",119.99,2024-11-15,400,In Stock,5 out of 5,21
C016,"Android Tablet, 10.1 inch Android 13 Tablets 6GB RAM 64GB ROM 1TB Expand, 1280x800 IPS HD Touchscreen,6000mAh Battery, Bluetooth, Dual",54.997,2024-09-27,500,In Stock,3.8 out of 5,1454
C019,"Latest 2024 Android 13 Tablet, 128GB+16GB/512GB Expandable, Octa",199.99,2024-07-15,3,In Stock,4.3 out of 5,1340
C020,2024 Tablet 10 inch Android 13 Tablets Octa,59.99,2021-03-19,300,In Stock,4.5 out of 5,30
C021,Lenovo Tab M9,126.0016,2024-10-14,1,In Stock,4.3 out of 5,1077
C023,"Amazon Basics USB Condenser Microphone for Streaming, Recording, and Podcasting on PC, Plug and Play, Cardioid Pickup, Adjustable Stand with",34.64,2024-10-26,500,In Stock,4.4 out of 5 stars,75
C024,"Turtle Beach Stealth 600 Gen 3 Wireless Multiplatform Amplified Gaming Headset for Xbox Series X|S, Xbox One, PC, PS5, PS4,",84.99,2024-09-06,20,In Stock,4.0 out of 5 stars,771
C025,"Kavaas Gamer Neon Sign, Game Controller Neon Sign for Gamer Room Decor",26.99,2024-07-12,10,In Stock,4.7 out of 5 stars,3081
C026,"ASUS ROG Strix G16 Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7",1272.84,2024-11-18,8,In Stock,4.3 out of 5 stars,1496
C027,"MOTPK Gaming Desk with LED Lights, 60 Inch U Shaped Desk with Power Outlet, Gaming Computer Desk with Storage Shelves,",179.99,2024-07-08,600,In Stock,4.6 out of 5 stars,53
C028,"Huuger L Shaped Gaming Desk with Power Outlets & LED Lights, Computer Desk with Monitor Shelves, Carbon Fiber Surface, Home",149.99,2024-04-25,300,Only 18 left in stock - order soon.,4.6 out of 5 stars,274
C030,"Redragon M602 RGB Wired Gaming Mouse RGB Spectrum Backlit Ergonomic Mouse Griffin Programmable with 8 Backlight Modes, Up to 7200",19.99,2021-02-16,1,In Stock,4.6 out of 5 stars,31138
C031,"HP Victus 15.6 i5 Gaming Laptop, 15.6"" FHD 1920*1080 144Hz, Intel Core i5",629.82,2024-01-11,500,Only 6 left in stock - order soon.,4.2 out of 5 stars,44
C032,"Govee Smart LED Light Bars, Work with Alexa and Google Assistant, RGBICWW WiFi TV Backlights with Scene and Music Modes",29.99,2024-04-11,10,In Stock,4.6 out of 5 stars,5555
C033,Sceptre New 27,97.97,2024-01-12,10,In Stock,4.5 out of 5 stars,33795
C034,Large RGB Gaming Mouse Pad,11.99,2024-11-13,6,In Stock,4.6 out of 5 stars,4443
C036,"Gaming Headset for PC, Ps4, Ps5, Xbox Headset with 7.1 Surround Sound, Gaming Headphones with Noise Cancelling Mic RGB Light",25.68,2024-10-25,10,Only 3 left in stock - order soon.,4.4 out of 5 stars,4033
C037,"Logitech G733 Lightspeed Wireless Gaming Headset with Suspension Headband, Lightsync RGB, Blue VO!CE mic technology and PRO",88.98,2023-02-17,10,In Stock,4.4 out of 5 stars,16834
C039,"HP Victus 15.6"" 144Hz FHD Gaming Laptop,AMD Ryzen 5 7535HS,16GB DDR5 RAM,512GB SSD,AMD Radeon RX 6550M,Beats RTX 2050,Backlit Keyboard,Windows11 Pro,",550.0,2024-10-21,400,Only 5 left in stock - order soon.,4.3 out of 5 stars,74
C040,"KDD Gaming Headphones Stand, Rotatable Headset Stand with Light Modes",29.95,2023-07-10,6,In Stock,4.6 out of 5 stars,2113
C041,Sceptre 30,169.97,2024-04-11,10,In Stock,4.5 out of 5 stars,12036
C042,Razer BlackShark V2 X Gaming Headset: 7.1 Surround Sound,39.99,2024-05-12,10,Only 19 left in stock (more on the way).,4.4 out of 5 stars,19773
C043,"MAONO Gaming USB Microphone, Noise Cancellation Condenser mic with Mute, Gain, Monitoring, Boom Arm for Streaming, Podcast, Twitch, YouTube, Discord,",48.99,2024-08-31,10,In Stock,4.5 out of 5 stars,2286
C044,3,21.99,2024-06-27,1,In Stock,4.5 out of 5 stars,607
C045,Acer Nitro V Gaming Laptop | Intel Core i5,649.99,2024-03-11,4,In Stock,4.4 out of 5 stars,1215
C046,Rotating Headphone Stand,13.99,2024-10-27,10,In Stock,4.7 out of 5 stars,27256
C047,"Gaming Microphone, USB PC Mic for Podcasts Videos, Streaming, Condenser Mic with Quick Mute, Tripod Stand, Pop Filter, RGB Indicator,",29.99,2024-04-11,7,In Stock,4.3 out of 5 stars,2184
C051,LG UltraGear QHD 27,299.99,2024-10-18,6,In Stock,4.6 out of 5 stars,12115
C052,"Hcman Headphone Stand Gaming Headset Holder RGB PC Gaming Accessories for Desk, Cool LED Headset Stand with 2 USB Charger",25.99,2024-11-29,800,In Stock,4.3 out of 5 stars,641
C053,Corsair VOID RGB ELITE Wireless Gaming Headset,105.1,2024-04-08,3,In Stock,4.3 out of 5 stars,23029
C054,Redragon K585 DITI Wired One,36.99,2022-12-12,2,In Stock,4.3 out of 5 stars,8958
C055,"Xbox Elite Series 2 Core Wireless Gaming Controller – White – Xbox Series X|S, Xbox One, Windows PC, Android, and",98.0,2022-10-21,10,Usually ships within 2 to 4 weeks,4.3 out of 5 stars,42728
C056,"Casaottima L Shaped Gaming Desk, Corner Desk Gaming Table for Home Office, Computer Desk Sturdy Writing Workstation for Small Space,",66.66,2024-10-18,4,In Stock,4.5 out of 5 stars,950
C057,"Acer Nitro 27"" WQHD 2560 x 1440 PC Gaming IPS Monitor | AMD FreeSync Premium Up to 180Hz Refresh 0.5ms",178.94,2024-08-18,8,In Stock,4.4 out of 5 stars,1360
C060,Sceptre Curved 24.5,127.97,2024-03-11,10,Temporarily out of stock.,4.4 out of 5 stars,6937
C061,"SAMSUNG 25"" Odyssey G4 Series FHD Gaming Monitor, IPS, 240Hz, 1ms, G",338.95,2024-08-07,3,Only 8 left in stock - order soon.,4.6 out of 5 stars,504
C062,"LG 27"" UltraGear QHD Gaming Monitor, 240Hz, 1ms, VESA DisplayHDR 400, G",349.99,2024-07-11,3,In Stock,4.4 out of 5 stars,276
C063,"KontrolFreek Precision Rings | Aim Assist Motion Control for PlayStation 4, PS5, Xbox One, XBX, Switch Pro & Scuf Controller",10.99,2024-09-26,6,In Stock,4.0 out of 5 stars,9616
C064,Turtle Beach Recon 50 Wired Gaming Headset,24.99,2024-03-12,10,In Stock,4.3 out of 5 stars,101913
C067,"Amazon Basics 24 Inch Gaming Monitor, FHD 1080P, 165Hz, VESA Compatible, Adaptive sync, 1ms Response, Black",129.99,2024-12-10,400,In Stock,4.3 out of 5 stars,51
C068,"KTC 27 Inch 4K Gaming Monitor, UHD 160Hz/144Hz 1ms Fast IPS Monitor, Freesync/G",399.99,2024-11-27,300,In Stock,4.5 out of 5 stars,848
C070,SteelSeries Apex 3 RGB Gaming Keyboard – 10,48.99,2024-08-10,5,In Stock,4.6 out of 5 stars,6939
C071,Gaming Headphone Stand PC Accessories,26.99,2024-02-12,1,In Stock,4.3 out of 5 stars,200
C072,Acer Nitro KG241Y Sbiip 23.8” Full HD VA Gaming Monitor | AMD FreeSync Premium Technology | 165Hz Refresh Rate |,94.99,2024-10-23,8,In Stock,4.5 out of 5 stars,2545
C073,Acer Predator Helios Neo 16 Gaming Laptop | Intel Core i7,999.99,2024-01-12,500,In Stock,4.5 out of 5 stars,1957
C075,Razer Barracuda X Wireless Gaming & Mobile Headset: 2.4GHz Wireless + Bluetooth,79.99,2024-06-27,1,In Stock,4.1 out of 5 stars,3182
C077,Womier S,55.98,2024-04-11,4,In Stock,4.6 out of 5 stars,585
